index,table_name
bse_greenex,mstr_bse_greenex
bse_sensex,mstr_bse_sensex
bse_100,mstr_bse_100
bse_200,mstr_bse_200
bse_500,mstr_bse_500
bse_information_technology,mstr_bse_information_technology
bse_fast_moving_consumer_goods,mstr_bse_fast_moving_consumer_goods
bse_capital_goods,mstr_bse_capital_goods
bse_consumer_durables,mstr_bse_consumer_durables
bse_healthcare,mstr_bse_healthcare
bse_dollex_200,mstr_bse_dollex_200
bse_teck,mstr_bse_teck
bse_psu,mstr_bse_psu
bse_dollex_30,mstr_bse_dollex_30
bse_bankex,mstr_bse_bankex
bse_auto,mstr_bse_auto
bse_metal,mstr_bse_metal
bse_oil_&_gas,mstr_bse_oil_&_gas
bse_midcap,mstr_bse_midcap
bse_smallcap,mstr_bse_smallcap
bse_dollex_100,mstr_bse_dollex_100
bse_realty,mstr_bse_realty
bse_power,mstr_bse_power
bse_ipo,mstr_bse_ipo
bse_carbonex,mstr_bse_carbonex
bse_sme_ipo,mstr_bse_sme_ipo
bse_india_infrastructure_index,mstr_bse_india_infrastructure_index
bse_cpse,mstr_bse_cpse
bse_india_manufacturing_index,mstr_bse_india_manufacturing_index
bse_allcap,mstr_bse_allcap
bse_largecap,mstr_bse_largecap
bse_sensex_50,mstr_bse_sensex_50
bse_sensex_next_50,mstr_bse_sensex_next_50
bse_bharat_22_index,mstr_bse_bharat_22_index
bse_150_midcap_index,mstr_bse_150_midcap_index
bse_250_smallcap_index,mstr_bse_250_smallcap_index
bse_250_largemidcap_index,mstr_bse_250_largemidcap_index
bse_400_midsmallcap_index,mstr_bse_400_midsmallcap_index
bse_smallcap_select_index,mstr_bse_smallcap_select_index
bse_midcap_select_index,mstr_bse_midcap_select_index
bse_100_largecap_tmc_index,mstr_bse_100_largecap_tmc_index
bse_consumer_descretionary,mstr_bse_consumer_descretionary
bse_energy,mstr_bse_energy
bse_financial_services,mstr_bse_financial_services
bse_industrials,mstr_bse_industrials
bse_telecommunication,mstr_bse_telecommunication
bse_utilities,mstr_bse_utilities
bse_diversified_financials_revenue_growth_index,mstr_bse_diversified_financials_revenue_growth_index
bse_private_banks_index,mstr_bse_private_banks_index
bse_momentum_index,mstr_bse_momentum_index
bse_low_volatility_index,mstr_bse_low_volatility_index
bse_quality_index,mstr_bse_quality_index
bse_enhanced_value_index,mstr_bse_enhanced_value_index
bse_dividend_stability_index,mstr_bse_dividend_stability_index
bse_100_esg_index,mstr_bse_100_esg_index
